Record Id,Data Source,Allocated  NN,Pcode,Xcord,Ycord,Last  Modified,Generic Geography/Street name?
336,Staff Survey,South Edinburgh,EH17 7SE,329093,670043,04/09/2013,generic
337,Staff Survey,Morningside,EH10 5PS,323818,670386,04/09/2013,
338,Staff Survey,Leith,EH6 4DQ,326031,676258,04/09/2013,
339,Staff Survey,Cameron Toll,EH16 5LG,327641,671444,04/09/2013,
340,Staff Survey,Colinton Mains,EH13 9BU,323019,668775,04/09/2013,
341,Staff Survey,Duddingston/Mountcastle,EH8 7TA,329699,673663,04/09/2013,
342,Staff Survey,Ravelston/Murrayfield,EH12 6BS,322812,673674,04/09/2013,
343,Staff Survey,Portobello,EH15 2BQ,330859,673902,04/09/2013,
344,Staff Survey,Leith,EH6 6AF,327007,675992,04/09/2013,
345,Staff Survey,South Queensferry,EH30 9PQ,313141,677388,04/09/2013,
346,Staff Survey,St Leonard's,EH8 9RF,326583,672802,04/09/2013,
347,Staff Survey,Stenhouse,eh11 3dh,321412,671824,04/09/2013,
348,Staff Survey,Broughton/Canonmills,EH7 4EF,325605,675192,04/09/2013,
349,Staff Survey,Abbeyhill,EH7 5AU,327020,674535,04/09/2013,
350,Staff Survey,Mayfield,EH9 3AY,326860,670829,04/09/2013,
351,Staff Survey,Morningside,EH10 6EL,324412,670395,04/09/2013,
353,Staff Survey,Kirkliston,EH29 9AW,312369,674754,04/09/2013,
354,Staff Survey,South Edinburgh,EH17 8BP,326774,668198,04/09/2013,generic
355,Staff Survey,Currie,EH14 5TJ,317158,667743,04/09/2013,
357,Staff Survey,Duddingston,EH15 1rx,329643,673028,04/09/2013,
358,Staff Survey,Trinity,eh5 3an,324984,676094,04/09/2013,
359,Staff Survey,Comiston,EH10 6HF,324349,669256,04/09/2013,
360,Staff Survey,West Hatton,eh27 8dz,312716,668850,04/09/2013,
361,Staff Survey,New Town,EH3 5DQ,325110,674772,04/09/2013,
362,Staff Survey,Lochend,EH7 6FE,327514,675003,04/09/2013,
363,Staff Survey,Portobello,EH15 2EJ,331367,673550,04/09/2013,
364,Staff Survey,Blackford,EH9 3BG,326652,670799,04/09/2013,
365,Staff Survey,Marchmont,EH9 1DQ,325258,672241,04/09/2013,
366,Staff Survey,Newington,EH9 2DL,326863,671710,04/09/2013,
367,Staff Survey,Drylaw,EH4 2WL,322290,675122,04/09/2013,
368,Staff Survey,Leith,eh6 6jy,326493,676686,04/09/2013,
369,Staff Survey,The Grange,EH9 2LZ,326188,671338,04/09/2013,
370,Staff Survey,Craigleith,EH4 2NR,322718,674732,04/09/2013,
371,Staff Survey,Comely Bank,EH4 1BW,323904,674562,04/09/2013,
372,Staff Survey,Morningside,EH10 5RA,324294,670282,04/09/2013,
373,Staff Survey,Blackford,EH9 2PR,326019,671163,04/09/2013,
374,Staff Survey,Dean Village,EH4 3BE,324042,673905,04/09/2013,
375,Staff Survey,Blackford/Newington,EH9 3HA,325833,670899,04/09/2013,
376,Staff Survey,Cowgate,EH1 1JG,325891,673440,04/09/2013,
377,Staff Survey,Leith,EH6 8RS,326974,675205,04/09/2013,
378,Staff Survey,Strathalmond,EH4 8HP,317846,675192,04/09/2013,
379,Staff Survey,Willowbrae,EH8 7JU,328842,673606,04/09/2013,
380,Staff Survey,New Town,EH3 5DS,325065,674835,04/09/2013,
381,Staff Survey,East Craigs,EH4 8BY,318712,674512,04/09/2013,
382,Staff Survey,Longstone,eh14 2au,321168,670963,04/09/2013,
383,Staff Survey,Currie,EH14 5RU,317754,667545,04/09/2013,
384,Staff Survey,Bruntsfield,EH10 4JQ,324645,672303,04/09/2013,
385,Staff Survey,Orchard Brae,EH4 2GA,323255,674237,04/09/2013,
386,Staff Survey,Morningside,EH10 5PL,323975,670440,04/09/2013,
387,Staff Survey,Silverknowes,EH4 5PS,321127,675598,04/09/2013,
388,Staff Survey,Clermiston,eh4 7bu,320014,674508,04/09/2013,
389,Staff Survey,Baberton Mains,EH14 3EN,319923,669130,04/09/2013,
390,Staff Survey,Southside,EH8 9JN,326113,672900,04/09/2013,
391,Staff Survey,Tollcross,EH3 9JF,325027,672971,04/09/2013,
